"anon_Mill" "anon_Sense" "anon_Villette"
"whom" 0.0312665351868777 0.0576923076923077 0.0561323281011824
"part" 0.0428111020251094 0.040133779264214 0.0406830634861781
"each" 0.0452162201164077 0.048494983277592 0.0458328183578462
"gave" 0.0408870075520708 0.0593645484949833 0.0514975487166811
"sense" 0.0673433065563519 0.0267558528428094 0.0308985292300087
"word" 0.0283803934773197 0.040133779264214 0.0401680879990112
"i^ll" 0.0562797633363798 0.00167224080267559 0.00875458328183579
"emma" 0 0 0
"sat" 0.0485833854442253 0.0309364548494983 0.0535574506653483
"asked" 0.016835826639088 0.0183946488294314 0.0504675977423475
"course" 0.0230891336764635 0.0250836120401338 0.0504675977423475
"began" 0.0447351964981481 0.0351170568561873 0.0257487743583405
"hands" 0.0485833854442253 0.0142140468227425 0.0422279899476785
"three" 0.0355957477512146 0.0518394648829431 0.0432579409220121
"letter" 0.0274183462408004 0.0627090301003344 0.038108186050344
"does" 0.0269373226225408 0.0468227424749164 0.038108186050344
"whether" 0.0254942517677618 0.0367892976588629 0.0458328183578462
"light" 0.0365577949877339 0.00836120401337793 0.0592221810241833
"set" 0.0375198422242532 0.0267558528428094 0.0283236517941746
"pleasure" 0.0245322045312425 0.0551839464882943 0.0319284802043423
"friend" 0.0163548030208283 0.044314381270903 0.0283236517941746
"years" 0.0432921256433691 0.0409698996655518 0.0365632595888436
"brought" 0.0360767713694742 0.048494983277592 0.0422279899476785
"happy" 0.0226081100582039 0.0836120401337793 0.0252337988711737
"whole" 0.0226081100582039 0.0551839464882943 0.0664318378445186
"next" 0.0351147241329549 0.0434782608695652 0.0226589214353397
"whose" 0.0278993698590601 0.040133779264214 0.0509825732295143
"men" 0.0495454326807446 0.0175585284280936 0.0175091665636716
"suppose" 0.0197219683486459 0.0459866220735786 0.0350183331273431
"coming" 0.0341526768964356 0.0309364548494983 0.0308985292300087
"talk" 0.0437731492616287 0.0334448160535117 0.0236888724096733
"keep" 0.0365577949877339 0.0259197324414716 0.0324434556915091
"replied" 0 0.0852842809364548 0.00875458328183579
"money" 0.0865842512867382 0.0209030100334448 0.0118444362048366
"alone" 0.0230891336764635 0.0267558528428094 0.0484076957936802
"stood" 0.0264562990042811 0.00836120401337793 0.065401886870185
"given" 0.0283803934773197 0.0451505016722408 0.0334734066658427
"business" 0.0625330703737554 0.0384615384615385 0.0236888724096733
"feelings" 0.0240511809129828 0.0610367892976589 0.0288386272813414
"care" 0.0404059839338112 0.0275919732441472 0.0365632595888436
"lucy" 0.152003463370051 0.133779264214047 0.0973303670745272
"answer" 0.0202029919669056 0.0275919732441472 0.0360482841016768
"help" 0.0485833854442253 0.0158862876254181 0.0247188233840069
"i^ve" 0.0875462985232575 0.000836120401337793 0.00102995097433362
"mean" 0.0389629130790322 0.0342809364548495 0.0200840439995056
"wife" 0.0375198422242532 0.0367892976588629 0.00566473035883492
"near" 0.0269373226225408 0.0267558528428094 0.0422279899476785
"fine" 0.0365577949877339 0.0209030100334448 0.0288386272813414
"hardly" 0.0404059839338112 0.0543478260869565 0.029868578255675
"cried" 0.00625330703737554 0.072742474916388 0.0278086763070078
"together" 0.046178267352927 0.0610367892976589 0.0154492646150043
"end" 0.046178267352927 0.0459866220735786 0.0205990194866724
"husband" 0.029342440713839 0.0309364548494983 0.00720965682033535
"taken" 0.029342440713839 0.024247491638796 0.0262637498455074
"certain" 0.0235701572947232 0.0267558528428094 0.0587072055370164
"john" 0.00288614170955794 0.123745819397993 0.0849709553825238
"friends" 0.0240511809129828 0.0518394648829431 0.0375932105631772
"hetty" 0 0 0
"called" 0.0211650392034249 0.0359531772575251 0.0391381370246776
"small" 0.0471403145894463 0.024247491638796 0.0417130144605117
"elinor" 0 0.520903010033445 0
"passed" 0.0274183462408004 0.0434782608695652 0.0504675977423475
"tulliver" 0.299677714175766 0 0
"subject" 0.0177978738756073 0.0568561872909699 0.0154492646150043
"child" 0.0278993698590601 0.0326086956521739 0.0432579409220121
"elizabeth" 0.00144307085477897 0 0.00102995097433362
"chapter" 0.0283803934773197 0.0418060200668896 0.0247188233840069
"manner" 0.0240511809129828 0.0468227424749164 0.0350183331273431
"full" 0.0235701572947232 0.0250836120401338 0.0432579409220121
"hour" 0.0173168502573476 0.0275919732441472 0.0499526222551807
"yourself" 0.0250132281495021 0.0317725752508361 0.0175091665636716
"days" 0.032228582423397 0.0359531772575251 0.0406830634861781
"certainly" 0.0197219683486459 0.0510033444816054 0.0283236517941746
"rest" 0.0278993698590601 0.0451505016722408 0.0257487743583405
"pretty" 0.0355957477512146 0.0301003344481605 0.0329584311786759
"there^s" 0.0774448025398047 0.00250836120401338 0.00154492646150043
"god" 0.016835826639088 0.00752508361204013 0.0267787253326742
"read" 0.0187599211121266 0.0183946488294314 0.0448028673835125
"strong" 0.0423300784068498 0.0234113712374582 0.0396531125118444
"ask" 0.0384818894607725 0.0292642140468227 0.0267787253326742
"mary" 0 0.00167224080267559 0.00617970584600173
"large" 0.0408870075520708 0.0217391304347826 0.0350183331273431
"nature" 0.0303044879503584 0.0217391304347826 0.0458328183578462
"name" 0.0226081100582039 0.0359531772575251 0.0293536027685082
"girl" 0.0375198422242532 0.0301003344481605 0.0360482841016768
"tone" 0.0524315743903026 0.0100334448160535 0.0216289704610061
"wanted" 0.0365577949877339 0.0250836120401338 0.0216289704610061
"sometimes" 0.0206840155851652 0.024247491638796 0.0360482841016768
"aunt" 0.0697484246476502 0.000836120401337793 0.00411980389733449
"others" 0.0216460628216845 0.0501672240802676 0.0262637498455074
"brother" 0.0452162201164077 0.0602006688963211 0.00823960779466897
"continued" 0.01394968492953 0.0468227424749164 0.019054093025172
"eye" 0.0125066140747511 0.0158862876254181 0.0690067152803527
"reason" 0.0211650392034249 0.044314381270903 0.0247188233840069
"answered" 0.0110635432199721 0.020066889632107 0.0205990194866724
"can^t" 0.0620520467554957 0.00752508361204013 0.0123594116920035
"turn" 0.0298234643320987 0.0133779264214047 0.027293700819841
"arthur" 0 0 0
"making" 0.0327096060416566 0.0192307692307692 0.0226589214353397
"ought" 0.0278993698590601 0.0301003344481605 0.0267787253326742
"within" 0.0177978738756073 0.0493311036789298 0.0262637498455074
"everything" 0.0707104718841695 0.0133779264214047 0.00360482841016768
"children" 0.0466592909711867 0.0275919732441472 0.019054093025172
"walk" 0.0254942517677618 0.0167224080267559 0.0262637498455074
"air" 0.029342440713839 0.0150501672240803 0.0365632595888436
"open" 0.0278993698590601 0.0301003344481605 0.0345033576401763
"among" 0.0341526768964356 0.0175585284280936 0.00823960779466897
"possible" 0.0206840155851652 0.0409698996655518 0.0113294607176698
"casaubon" 0 0 0
"return" 0.015392755784309 0.0351170568561873 0.0262637498455074
"glad" 0.0211650392034249 0.0367892976588629 0.0262637498455074
"spoke" 0.0235701572947232 0.0292642140468227 0.0396531125118444
"added" 0.0394439366972918 0.0342809364548495 0.0164792155893379
"matter" 0.0226081100582039 0.0392976588628763 0.0308985292300087
"already" 0.0173168502573476 0.0409698996655518 0.0175091665636716
"doubt" 0.0187599211121266 0.0384615384615385 0.0247188233840069
"person" 0.0245322045312425 0.0568561872909699 0.0293536027685082
"rose" 0.0163548030208283 0.0117056856187291 0.0324434556915091
"usual" 0.0226081100582039 0.0250836120401338 0.0216289704610061
"short" 0.0177978738756073 0.0476588628762542 0.0283236517941746
"wished" 0.0158737794025687 0.0451505016722408 0.027293700819841
"call" 0.0278993698590601 0.0292642140468227 0.0211139949738392
"deal" 0.029342440713839 0.0275919732441472 0.0118444362048366
"either" 0.0158737794025687 0.0284280936454849 0.0169941910765048
"bear" 0.0365577949877339 0.0192307692307692 0.019054093025172
"entered" 0.0197219683486459 0.0334448160535117 0.0200840439995056
"cold" 0.0177978738756073 0.0175585284280936 0.0401680879990112
"true" 0.0187599211121266 0.0192307692307692 0.0339883821530095
"live" 0.0303044879503584 0.0301003344481605 0.0247188233840069
"fear" 0.0163548030208283 0.0217391304347826 0.0324434556915091
"idea" 0.0245322045312425 0.020066889632107 0.0221439459481729
"stay" 0.0274183462408004 0.0250836120401338 0.010814485230503
"married" 0.0202029919669056 0.0451505016722408 0.00926955876900259
"uncle" 0.0625330703737554 0.0100334448160535 0.00875458328183579
"known" 0.0202029919669056 0.0493311036789298 0.0257487743583405
"opinion" 0.0235701572947232 0.0526755852842809 0.00978453425616941
"longer" 0.0264562990042811 0.044314381270903 0.0149342891278375
"hard" 0.0413680311703305 0.00668896321070234 0.0180241420508384
"mine" 0.016835826639088 0.0150501672240803 0.0448028673835125
"dark" 0.0250132281495021 0.00167224080267559 0.0484076957936802
"master" 0.0182788974938669 0 0.00617970584600173
"fred" 0 0 0
"ready" 0.0197219683486459 0.0292642140468227 0.0164792155893379
"smile" 0.0129876376930107 0.0192307692307692 0.0375932105631772
"fire" 0.0206840155851652 0.0125418060200669 0.0267787253326742
"question" 0.0197219683486459 0.0234113712374582 0.0257487743583405
"table" 0.0235701572947232 0.0192307692307692 0.0149342891278375
"thoughts" 0.0173168502573476 0.020066889632107 0.0231738969225065
"rosamond" 0 0 0
"used" 0.0351147241329549 0.0167224080267559 0.0288386272813414
"marianne" 0 0.411371237458194 0
"point" 0.0221270864399442 0.0317725752508361 0.0308985292300087
"seeing" 0.0197219683486459 0.0342809364548495 0.0159642401021711
"neither" 0.00962047236519313 0.0384615384615385 0.0453178428706794
"bulstrode" 0 0 0
"he^s" 0.0572418105728991 0 0
"remember" 0.0341526768964356 0.0192307692307692 0.0355333086145099
"immediately" 0.0158737794025687 0.0602006688963211 0.00823960779466897
"thinking" 0.033671653278176 0.0150501672240803 0.0123594116920035
"change" 0.0211650392034249 0.024247491638796 0.0216289704610061
"lay" 0.0254942517677618 0.0100334448160535 0.0411980389733449
"bad" 0.0240511809129828 0.0100334448160535 0.0144193136406707
"use" 0.030785511568618 0.0209030100334448 0.0180241420508384
"walked" 0.0303044879503584 0.024247491638796 0.00926955876900259
"kept" 0.0259752753860215 0.024247491638796 0.0375932105631772
"returned" 0.00817740151041416 0.0434782608695652 0.0113294607176698
"quiet" 0.0177978738756073 0.0158862876254181 0.0427429654348453
"silence" 0.0221270864399442 0.0267558528428094 0.0257487743583405
"character" 0.0182788974938669 0.0284280936454849 0.0339883821530095
"happiness" 0.0221270864399442 0.0551839464882943 0.0175091665636716
"power" 0.0158737794025687 0.0376254180602007 0.0267787253326742
"saying" 0.0197219683486459 0.0326086956521739 0.0133893626663371
"sit" 0.0254942517677618 0.0117056856187291 0.0236888724096733
"means" 0.0216460628216845 0.0317725752508361 0.0216289704610061
"trouble" 0.0298234643320987 0.0108695652173913 0.0113294607176698
"minutes" 0.0120255904564914 0.0392976588628763 0.0324434556915091
"taking" 0.0351147241329549 0.020066889632107 0.0221439459481729
"harriet" 0 0 0.00823960779466897
"close" 0.0240511809129828 0.00752508361204013 0.0355333086145099
"hair" 0.0346337005146953 0.0150501672240803 0.0293536027685082
"weston" 0 0 0
"ladies" 0.0129876376930107 0.0275919732441472 0.0133893626663371
"strange" 0.0226081100582039 0.0192307692307692 0.0504675977423475
"behind" 0.0312665351868777 0.0142140468227425 0.0226589214353397
"catherine" 0 0 0
"speaking" 0.0254942517677618 0.0175585284280936 0.0211139949738392
"bit" 0.0577228341911588 0.00167224080267559 0.00411980389733449
"son" 0.0351147241329549 0.0259197324414716 0.029868578255675
"dinah" 0 0 0
"need" 0.0264562990042811 0.0142140468227425 0.0185391175380052
"white" 0.0163548030208283 0.00418060200668896 0.0581922300498496
"wrong" 0.0303044879503584 0.0183946488294314 0.010814485230503
"able" 0.0158737794025687 0.0384615384615385 0.00823960779466897
"bed" 0.0187599211121266 0.0209030100334448 0.0345033576401763
"marry" 0.0105825196017124 0.024247491638796 0.00772463230750216
"besides" 0.0240511809129828 0.0108695652173913 0.0200840439995056
"town" 0.0149117321660494 0.0719063545150502 0.0154492646150043
